country,continent,year,co2_emissions,gdp,population
USA,North America,1995,11521.007293964303,89988.12268983718,542.8624182381589
USA,North America,1996,8883.295062709056,28813.054512259452,577.2020552070969
USA,North America,1997,3859.8210171110136,64013.814851637406,802.1049279181854
USA,North America,1998,2982.579303621143,50774.755104525815,1340.3845103349613
USA,North America,1999,10116.499003789215,56989.69508224,1455.7004854721904
USA,North America,2000,10724.93448001072,57979.180569440105,343.06951508816786
USA,North America,2001,5842.661790217146,76057.70374025148,1137.1814786819511
USA,North America,2002,6006.1290955239965,55962.861394368425,349.08240058020255
USA,North America,2003,4838.576606677638,13301.785176609214,626.4112063222282
USA,North America,2004,6691.4581249824805,37128.68251403913,1493.1851102006412
USA,North America,2005,11001.638903547391,,1333.7941686946883
USA,North America,2006,8399.873502721537,51821.89898319692,842.2147938671004
USA,North America,2007,4222.13427943089,79223.22370823481,49.095330554565194
USA,North America,2008,11434.664523268979,40054.45079420971,896.1433827032096
USA,North America,2009,7870.32683080817,77288.53498555119,429.02076541584603
USA,North America,2010,7921.533820927056,71820.2330737931,1177.4401208757029
USA,North America,2011,11642.132105137076,8365.80279602851,857.5222492452743
USA,North America,2012,2002.841935874626,6368.115409246728,134.80366088167833
USA,North America,2013,2408.66438605589,39969.247627697536,21.089813432967567
USA,North America,2014,8174.342310767728,54556.19400257681,316.2651362050727
USA,North America,2015,1650.7505890873729,42975.290606403025,1416.4011826073745
USA,North America,2016,7729.4338356678745,42008.999830713816,386.62553552898174
USA,North America,2017,295.46889526300254,35607.18106694361,536.3958095882214
USA,North America,2018,1343.075970740692,42468.683363344266,
USA,North America,2019,9802.91235650455,58772.67570097545,793.3500684755827
USA,North America,2020,8192.139018335327,66964.1931410185,571.988599104413
China,Asia,1995,9185.294456590498,,656.6904225282303
China,Asia,1996,7638.698720955383,16270.814115070718,823.5130950873396
China,Asia,1997,11045.530391185866,59571.70227747439,430.79615048076937
China,Asia,1998,10824.389159586672,,1180.7695886567756
China,Asia,1999,11128.860500817194,50493.294171013564,1123.980069488927
China,Asia,2000,10074.258770206461,,884.0445819988188
China,Asia,2001,759.9844155537255,,1109.5879277945676
China,Asia,2002,136.01371688673328,4607.477438111751,150.97954579995024
China,Asia,2003,4217.03694216486,35161.81634864174,1395.0143861501006
China,Asia,2004,11306.809527803494,65880.92320256749,1326.0797811703872
China,Asia,2005,6978.883281073542,22989.982154803984,845.2365628462456
China,Asia,2006,3737.053334436832,74052.55901700139,1377.5215736310302
China,Asia,2007,2768.8178960167934,68938.85920671129,1382.9961239769796
China,Asia,2008,4809.100073330643,9274.444346735048,943.7282030992003
China,Asia,2009,5718.387768985354,9652.520093392824,1088.1055448382704
China,Asia,2010,4466.336684696562,79208.69126210362,
China,Asia,2011,238.0981255507749,34073.9839553659,1222.948140133071
China,Asia,2012,7705.212253539717,66108.79339492667,554.9610189167541
China,Asia,2013,220.44635627264324,28199.440800762342,138.21707278893678
China,Asia,2014,9515.366942974864,,
China,Asia,2015,8649.79102715308,,1067.8714251620345
China,Asia,2016,5776.447062116784,49624.23546439115,1139.4001994610903
China,Asia,2017,158.51310602009244,55856.60714802391,19.90516428564724
China,Asia,2018,6769.239414356133,24731.347097449692,1498.7287042746457
China,Asia,2019,11881.70675283757,6929.104419095882,1478.3264753392023
China,Asia,2020,2897.5272878721307,62759.55793329231,1448.2286490094016
India,Asia,1995,10785.175062758137,45923.04537614678,17.07603023229415
India,Asia,1996,10228.79944220667,85985.24287252515,209.6720012036746
India,Asia,1997,8135.0693037714955,55409.439004416854,91.57624628721459
India,Asia,1998,8667.20991383577,6312.35383152756,239.15637050194462
India,Asia,1999,11936.167534123733,33169.571919725,486.706980378654
India,Asia,2000,5054.688053396005,,251.06730696432862
India,Asia,2001,1937.3385837278518,20750.445317444348,629.071507281321
India,Asia,2002,9674.107988701884,,1467.4506322132615
India,Asia,2003,510.588326709459,,161.8790569250326
India,Asia,2004,10622.953507747681,15769.713914998632,
India,Asia,2005,1747.9568048309418,80410.93833161952,701.806397454367
India,Asia,2006,1875.9658195923248,32102.76038226204,605.3267780363334
India,Asia,2007,10213.255363811139,38528.856717425755,985.1492172330018
India,Asia,2008,3844.957710191622,3456.7341173597442,224.24539839026846
India,Asia,2009,3270.337078221254,74657.50524622528,1489.6100169169092
India,Asia,2010,6762.908924369004,38650.830970723015,1364.5043262443523
India,Asia,2011,4915.167104210666,,178.3616965535555
India,Asia,2012,8410.487771214508,,687.417595994966
India,Asia,2013,2066.9771211957877,7231.991600862833,414.6792445407365
India,Asia,2014,3251.144547070404,70178.70578642417,170.28603954378946
India,Asia,2015,351.81885225150364,77895.80241719921,1163.6042518949812
India,Asia,2016,4648.389780865023,62449.232125075156,
India,Asia,2017,8237.786012181617,7275.793775468207,867.7383130011535
India,Asia,2018,3354.618282419246,55484.83620479295,770.6178411800851
India,Asia,2019,8461.13018350822,7313.097836264269,739.7555871695745
India,Asia,2020,2139.993463551558,27115.0471240743,1056.33873516404
Germany,Europe,1995,109.41571832036728,84876.07140618567,1070.4222289225092
Germany,Europe,1996,4113.555550859529,20480.8249704843,700.7008665921071
Germany,Europe,1997,9005.09607363628,46964.57450774198,685.2806045315292
Germany,Europe,1998,9779.59787645194,25237.812192440466,1228.0073811652014
Germany,Europe,1999,11165.890107913396,83917.5931098364,764.4897162397684
Germany,Europe,2000,5299.375854345167,,43.24505166389736
Germany,Europe,2001,7941.629052778628,72013.33256446902,229.11851609569572
Germany,Europe,2002,6858.474240972164,80471.42451469884,199.53405490463527
Germany,Europe,2003,3874.1763793223527,83433.46099480019,110.8216124286177
Germany,Europe,2004,7665.091696957033,21123.546624281316,17.725872354773536
Germany,Europe,2005,6727.1701353304925,19058.267260119934,1263.8215082257361
Germany,Europe,2006,1437.6325842397382,79031.44770302007,495.4784694055374
Germany,Europe,2007,8243.535036851155,41209.385169327354,294.4908913148721
Germany,Europe,2008,852.8311957512889,42222.47151319597,439.26548495590515
Germany,Europe,2009,1304.057704814528,89708.02236703852,342.1356468187116
Germany,Europe,2010,10436.733939843787,22874.356126398827,1262.0402921106063
Germany,Europe,2011,4443.69630585719,89524.96010781785,603.1550545494888
Germany,Europe,2012,4627.982876051661,75342.99647776288,
Germany,Europe,2013,4285.2853102822955,58072.011929961875,706.0825420075914
Germany,Europe,2014,5537.499017487244,35191.88724633454,214.12689650627956
Germany,Europe,2015,6153.621582309139,40210.45651661979,
Germany,Europe,2016,2217.7779051810326,16267.342781075788,962.0276138444756
Germany,Europe,2017,5831.229941637932,41004.83772870117,482.4296248360647
Germany,Europe,2018,8466.776684824512,70779.74802496057,42.11763273944757
Germany,Europe,2019,347.09182678835907,,70.14220295389346
